Authors,Author full names,Author(s) ID,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Davoodabadi A.; Jin C.; Wood III D.L.; Singler T.J.; Li J.,"Davoodabadi, Ali (57192993560); Jin, Congrui (55796338100); Wood III, David L. (48462221900); Singler, Timothy J. (6701697657); Li, Jianlin (55883344000)",57192993560; 55796338100; 48462221900; 6701697657; 55883344000,2020,94,10.1016/j.eml.2020.100960,https://www.scopus.com/pages/publications/85090144890?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Shang Y.; Zhang C.; Cui N.; Guerrero J.M.,"Shang, Yunlong (55968983300); Zhang, Chenghui (56018442000); Cui, Naxin (8294619900); Guerrero, Josep M. (35588010400)",55968983300; 56018442000; 8294619900; 35588010400,2015,282,10.1109/TPEL.2014.2345672,https://www.scopus.com/pages/publications/84923901968?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Henriksen M.; Vaagsaether K.; Lundberg J.; Forseth S.; Bjerketvedt D.,"Henriksen, M. (57192431965); Vaagsaether, K. (6506371152); Lundberg, J. (56118224400); Forseth, S. (12800016300); Bjerketvedt, D. (57201080182)",57192431965; 6506371152; 56118224400; 12800016300; 57201080182,2019,138,10.1016/j.jhazmat.2019.02.108,https://www.scopus.com/pages/publications/85062216009?origin=resultslist,passed_stage1,plot,dropped_stage2,,dropped — no OCR keywords (stage 2)
Xu R.; Yang Y.; Yin F.; Liu P.; Cloetens P.; Liu Y.; Lin F.; Zhao K.,"Xu, Rong (56967453500); Yang, Yang (55977824200); Yin, Fei (36984545500); Liu, Pengfei (59843948500); Cloetens, Peter (7004115610); Liu, Yijin (14625298600); Lin, Feng (55242415600); Zhao, Kejie (35308270300)",56967453500; 55977824200; 36984545500; 59843948500; 7004115610; 14625298600; 55242415600; 35308270300,2019,310,10.1016/j.jmps.2019.05.003,https://www.scopus.com/pages/publications/85065578846?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Weng J.; Ouyang D.; Liu Y.; Chen M.; Li Y.; Huang X.; Wang J.,"Weng, Jingwen (57203262037); Ouyang, Dongxu (57199849512); Liu, Yanhui (57216359351); Chen, Mingyi (56442804800); Li, Yaping (56652356100); Huang, Xinyan (56008117600); Wang, Jian (55894125500)",57203262037; 57199849512; 57216359351; 56442804800; 56652356100; 56008117600; 55894125500,2021,105,10.1016/j.jpowsour.2021.230340,https://www.scopus.com/pages/publications/85112402090?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Bo S.-H.; Wang Y.; Kim J.C.; Richards W.D.; Ceder G.,"Bo, Shou-Hang (7005333916); Wang, Yan (57200059718); Kim, Jae Chul (36930396700); Richards, William Davidson (55513661100); Ceder, Gerbrand (7006338051)",7005333916; 57200059718; 36930396700; 55513661100; 7006338051,2016,132,10.1021/acs.chemmater.5b04013,https://www.scopus.com/pages/publications/84954425699?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Liu Y.; Duan Q.; Xu J.; Chen H.; Lu W.; Wang Q.,"Liu, Yujun (57205158102); Duan, Qiangling (55747538000); Xu, Jiajia (57205152433); Chen, Haodong (55641639600); Lu, Wei (58434914800); Wang, Qingsong (14022104300)",57205158102; 55747538000; 57205152433; 55641639600; 58434914800; 14022104300,2018,116,10.1039/c8ra08908f,https://www.scopus.com/pages/publications/85058843596?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Chouchane M.; Rucci A.; Lombardo T.; Ngandjong A.C.; Franco A.A.,"Chouchane, Mehdi (57209574916); Rucci, Alexis (55808660500); Lombardo, Teo (57508497700); Ngandjong, Alain C. (57189221690); Franco, Alejandro A. (57198188522)",57209574916; 55808660500; 57508497700; 57189221690; 57198188522,2019,115,10.1016/j.jpowsour.2019.227285,https://www.scopus.com/pages/publications/85073591813?origin=resultslist,passed_stage1,"capacity, discharge, specific capacity",dropped_stage2,,dropped — no OCR keywords (stage 2)
Behi H.; Karimi D.; Jaguemont J.; Gandoman F.H.; Kalogiannis T.; Berecibar M.; Van Mierlo J.,"Behi, Hamidreza (57189902962); Karimi, Danial (57213270695); Jaguemont, Joris (56705583200); Gandoman, Foad Heidari (56705507400); Kalogiannis, Theodoros (56295308400); Berecibar, Maitane (55816737600); Van Mierlo, Joeri (57203921849)",57189902962; 57213270695; 56705583200; 56705507400; 56295308400; 55816737600; 57203921849,2021,98,10.1016/j.energy.2021.120165,https://www.scopus.com/pages/publications/85102150739?origin=resultslist,passed_stage1,impedance,dropped_stage2,,dropped — no OCR keywords (stage 2)
Chen Y.; Yu Z.; Rudnicki P.; Gong H.; Huang Z.; Kim S.C.; Lai J.-C.; Kong X.; Qin J.; Cui Y.; Bao Z.,"Chen, Yuelang (57226250009); Yu, Zhiao (56999506000); Rudnicki, Paul (57193856188); Gong, Huaxin (57745965700); Huang, Zhuojun (57210450083); Kim, Sang Cheol (57216299047); Lai, Jian-Cheng (55831583800); Kong, Xian (42761689400); Qin, Jian (36673772700); Cui, Yi (57201126795); Bao, Zhenan (23065783000)",57226250009; 56999506000; 57193856188; 57745965700; 57210450083; 57216299047; 55831583800; 42761689400; 36673772700; 57201126795; 23065783000,2021,486,10.1021/jacs.1c09006,https://www.scopus.com/pages/publications/85118792208?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Park K.H.; Bai Q.; Kim D.H.; Oh D.Y.; Zhu Y.; Mo Y.; Jung Y.S.,"Park, Kern Ho (55916078400); Bai, Qiang (57195715608); Kim, Dong Hyeon (56399713800); Oh, Dae Yang (56400101600); Zhu, Yizhou (56824591300); Mo, Yifei (16302025600); Jung, Yoon Seok (7402506430)",55916078400; 57195715608; 56399713800; 56400101600; 56824591300; 16302025600; 7402506430,2018,559,10.1002/aenm.201800035,https://www.scopus.com/pages/publications/85048953501?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Weragoda D.M.; Tian G.; Burkitbayev A.; Lo K.-H.; Zhang T.,"Weragoda, Delika M. (57221971083); Tian, Guohong (7202950661); Burkitbayev, Arman (58155391000); Lo, Kin-Hing (56074485700); Zhang, Teng (56808446700)",57221971083; 7202950661; 58155391000; 56074485700; 56808446700,2023,262,10.1016/j.applthermaleng.2023.120070,https://www.scopus.com/pages/publications/85150775469?origin=resultslist,passed_stage1,current,dropped_stage2,,dropped — no OCR keywords (stage 2)
Dey S.; Biron Z.A.; Tatipamula S.; Das N.; Mohon S.; Ayalew B.; Pisu P.,"Dey, Satadru (56315624700); Biron, Zoleikha Abdollahi (37002583500); Tatipamula, Sagar (57053389200); Das, Nabarun (57052184000); Mohon, Sara (56085618700); Ayalew, Beshah (8930956800); Pisu, Pierluigi (57206310268)",56315624700; 37002583500; 57053389200; 57052184000; 56085618700; 8930956800; 57206310268,2016,156,10.1016/j.conengprac.2016.08.002,https://www.scopus.com/pages/publications/84981517791?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Hallemans N.; Howey D.; Battistel A.; Saniee N.F.; Scarpioni F.; Wouters B.; La Mantia F.; Hubin A.; Widanage W.D.; Lataire J.,"Hallemans, Noël (57220549910); Howey, David (34267561800); Battistel, Alberto (54891431900); Saniee, Nessa Fereshteh (56046042100); Scarpioni, Federico (57959765700); Wouters, Benny (55840766800); La Mantia, Fabio (35386616900); Hubin, Annick (7003398460); Widanage, Widanalage Dhammika (16317933200); Lataire, John (20435856300)",57220549910; 34267561800; 54891431900; 56046042100; 57959765700; 55840766800; 35386616900; 7003398460; 16317933200; 20435856300,2023,93,10.1016/j.electacta.2023.142939,https://www.scopus.com/pages/publications/85168557032?origin=resultslist,passed_stage1,"voltage, current, impedance, plot",dropped_stage2,,dropped — no OCR keywords (stage 2)
