Authors,Author full names,Author(s) ID,Title,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Mortazavinejad S.M.; Vinches L.; Hallé S.,"Mortazavinejad, Seyyed Mohsen (57210935251); Vinches, Ludwig (48561858400); Hallé, Stéphane (7003466289)",57210935251; 48561858400; 7003466289,Thermal resistance analysis of cold-protective clothing using numerical modeling: Influence of natural-based nonwoven fabric structure and wind flow conditions,2026,1,10.1016/j.icheatmasstransfer.2026.110802,https://www.scopus.com/pages/publications/105031393133?origin=resultslist,passed_stage1,"convection, heat flux, thermal, temperature",passed_stage2,"convection, thermal, temperature",relevant
Righetti G.; Guarda D.; Doretti L.; Zilio C.; Martelletto F.; Dolfi A.; Travaglini G.; Mancin S.,"Righetti, Giulia (55598181900); Guarda, Dario (57705568300); Doretti, Luca (7003321156); Zilio, Claudio (6507954986); Martelletto, Francesca (57205674943); Dolfi, Andrea (57814466900); Travaglini, Giuseppe (59342269200); Mancin, Simone (15750960200)",55598181900; 57705568300; 7003321156; 6507954986; 57205674943; 57814466900; 59342269200; 15750960200,Experimental investigation of high temperature organic phase change materials for waste heat recovery,2025,2,10.1016/j.ijft.2025.101293,https://www.scopus.com/pages/publications/105007971426?origin=resultslist,passed_stage1,temperature,passed_stage2,temperature,relevant
Mortazavinejad S.M.; Alakhdar M.; Vinches L.; Hallé S.,"Mortazavinejad, Seyyed Mohsen (57210935251); Alakhdar, Mostafa (59565146100); Vinches, Ludwig (48561858400); Hallé, Stéphane (7003466289)",57210935251; 59565146100; 48561858400; 7003466289,A novel methodology for calculating thermal conductivity of natural hollow fibers with validation in nonwoven fabric structures,2025,2,10.1016/j.icheatmasstransfer.2025.109269,https://www.scopus.com/pages/publications/105008982613?origin=resultslist,passed_stage1,"thermal, conductivity",passed_stage2,"thermal, conductivity",relevant
Ntumba P.T.; Khamlich S.; Sone B.T.; Fester V.,"Ntumba, P.T. (59695530100); Khamlich, S. (37016951200); Sone, B.T. (56092058900); Fester, V. (21742680000)",59695530100; 37016951200; 56092058900; 21742680000,Experimental and molecular-level insights into thermal conductivity of cobalt hydroxychloride nanofluids,2025,0,10.1016/j.ijft.2025.101256,https://www.scopus.com/pages/publications/105005105186?origin=resultslist,passed_stage1,"heat flux, thermal, conductivity",passed_stage2,"thermal, conductivity, temperature",relevant
Pinheiro I.F.; Moreira D.C.; Gama D.P.N.; Sphaier L.A.; Nunes L.C.D.S.,"Pinheiro, Isabela Florindo (57200374882); Moreira, Debora Carneiro (37861969000); Gama, Daniel Pereira Nunes (60437253700); Sphaier, Leandro Alcoforado (6506755450); Nunes, Luiz Carlos da Silva (57216446324)",57200374882; 37861969000; 60437253700; 6506755450; 57216446324,Infrared thermography-based estimation of Biot number in 2D polymeric fins using Levenberg–Marquardt and Gradient Boosting,2026,0,10.1016/j.ijthermalsci.2026.110805,https://www.scopus.com/pages/publications/105031930400?origin=resultslist,passed_stage1,"curve, heat flux, gradient, temperature",passed_stage2,"curve, temperature",relevant
Owens C.A.-H.; Park H.; Flores R.J.; Wentlent L.; Brouwer J.; Lee J.,"Owens, Charles Abdol-Hamid (59199706400); Park, Hoyeon (59341991900); Flores, Robert Joseph (56070323400); Wentlent, Luke (45261584000); Brouwer, Jacob (35616035100); Lee, Jaeho (36005396700)",59199706400; 59341991900; 56070323400; 45261584000; 35616035100; 36005396700,Thermal analysis of baffle effects in cryogenic hydrogen tanks,2026,0,10.1016/j.ijheatmasstransfer.2025.127863,https://www.scopus.com/pages/publications/105016865456?origin=resultslist,passed_stage1,"nusselt, convection, temperature, thermal, conductivity",passed_stage2,"convection, thermal, conductivity, temperature",relevant
Nguyen V.T.; Zou Y.; Mourda K.; Sidi-Boulenouar R.; Coussot P.,"Nguyen, V.T. (59505621900); Zou, Y. (57224107002); Mourda, K. (59920717300); Sidi-Boulenouar, R. (57201257891); Coussot, P. (24346487100)",59505621900; 57224107002; 59920717300; 57201257891; 24346487100,Realization of one-dimensional heat transfer for the study of hygrothermal behavior of insulating material samples,2026,0,10.1016/j.ijthermalsci.2025.110490,https://www.scopus.com/pages/publications/105023571039?origin=resultslist,passed_stage1,"thermal, conductivity, temperature",passed_stage2,temperature,relevant
Numbers J.; Walker I.; Hamm T.; Termini N.; Birri A.; Munro T.,"Numbers, Jacob (59357745800); Walker, Isaac (60538952700); Hamm, Tyler (59358130500); Termini, Nicholas (57192182095); Birri, Anthony (57202468834); Munro, Troy (55812232700)",59357745800; 60538952700; 59358130500; 57192182095; 57202468834; 55812232700,Structural coherence model for predicting molten salt thermal conductivity informed by the pair distribution function,2026,0,10.1016/j.molliq.2026.129502,https://www.scopus.com/pages/publications/105034214372?origin=resultslist,passed_stage1,"thermal, conductivity, temperature",passed_stage2,temperature,relevant
Assaf M.; Brachelet F.; Tittelein P.; Defer D.; Antczak E.,"Assaf, Marwan (60017711300); Brachelet, Franck (6506282381); Tittelein, Pierre (26322177400); Defer, Didier (56006006700); Antczak, Emmanuel (6602743883)",60017711300; 6506282381; 26322177400; 56006006700; 6602743883,Experimental validation of an approach to reduce uncertainties in the in-situ estimation of straw bales' thermal conductivity,2026,0,10.1016/j.ijthermalsci.2025.110545,https://www.scopus.com/pages/publications/105023587815?origin=resultslist,passed_stage1,"heat flux, thermal, conductivity, temperature",passed_stage2,"heat flux, temperature",relevant
Mich J.; Hennings de Lara J.V.; Hazenberg T.; Nicolai H.; Hasse C.,"Mich, J. (58299639300); Hennings de Lara, J.V. (59550562300); Hazenberg, T. (57219143169); Nicolai, H. (57203801917); Hasse, C. (56379852500)",58299639300; 59550562300; 57219143169; 57203801917; 56379852500,Coupling of the micro and macro flame structures in aluminum–steam suspensions based on an Euler-Lagrangian modeling approach,2026,0,10.1016/j.combustflame.2025.114707,https://www.scopus.com/pages/publications/105024304838?origin=resultslist,passed_stage1,temperature,passed_stage2,temperature,relevant
Aflatounian S.; Subramaniyan S.; Luo K.; Dewanjee S.; Ganesan V.; Gittus O.R.; Müller E.A.; Prentice G.; Payne M.J.; Stillwell A.; Braun P.V.; Miljkovic N.,"Aflatounian, Shayan (59738461400); Subramaniyan, Sarath (60576560100); Luo, Kai (55430887400); Dewanjee, Sujan (58512888700); Ganesan, Vishwanath (60381369400); Gittus, Oliver R. (57203943286); Müller, Erich A. (7402776188); Prentice, Giles (55749742100); Payne, Marc J. (24344720000); Stillwell, Andrew (57188809831); Braun, Paul V. (7203026953); Miljkovic, Nenad (53164399200)",59738461400; 60576560100; 55430887400; 58512888700; 60381369400; 57203943286; 7402776188; 55749742100; 24344720000; 57188809831; 7203026953; 53164399200,Comparative evaluation of dielectric liquids for single-phase immersion cooling of electronics,2026,0,10.1016/j.ijheatmasstransfer.2026.128765,https://www.scopus.com/pages/publications/105036010693?origin=resultslist,passed_stage1,"convection, temperature, curve, thermal, conductivity",passed_stage2,"thermal, temperature",relevant
Walcz E.; Budai C.,"Walcz, Erik (57203918188); Budai, Csaba (56534008200)",57203918188; 56534008200,Cryogenic properties of copper produced by Atomic Diffusion Additive Manufacturing (ADAM),2025,0,10.1016/j.cryogenics.2025.104081,https://www.scopus.com/pages/publications/105002878560?origin=resultslist,passed_stage1,"curve, thermal, conductivity, temperature",passed_stage2,"curve, thermal, conductivity, temperature",relevant
Heisig L.-M.; Werzner E.; Wulf R.; Fieback T.M.,"Heisig, Lisa-Marie (57259129800); Werzner, Eric (54929910300); Wulf, Rhena (22981884400); Fieback, Tobias M. (36731056500)",57259129800; 54929910300; 22981884400; 36731056500,Combined experimental and numerical investigation on the radiative properties of ceramic open-cell foams,2026,0,10.1016/j.ijheatmasstransfer.2026.128602,https://www.scopus.com/pages/publications/105031648169?origin=resultslist,passed_stage1,"thermal, temperature",passed_stage2,"thermal, conductivity, temperature",relevant
